5.7336,2.4474,5.6542
-2.8237,-3.0879,-5.7372
-1.4993,-2.9615,-2.7834
-1.2521,-0.67667,-2.0001
-8.8055,0.56049,10.05
13.517,-0.56717,8.7535
12.33,9.4369,3.8257
9.7437,3.6736,6.5608
10.872,12.98,6.5023
7.2085,5.0485,6.249
2.0914,0.8038,9.2624
11.611,0.10392,8.9348
8.8822,0.86569,8.9793
9.1587,3.4923,9.0115
9.0629,7.9563,8.0071
26.534,-9.912,-0.81171
12.196,16.455,4.1949
5.0389,10.386,6.7411
4.8993,3.8802,9.949
9.8771,8.7426,9.4938
6.7628,8.8924,6.9728
5.7597,-0.8619,11.205
8.9966,1.5047,7.9148
7.0857,4.0385,6.9505
6.898,1.2362,7.6074
3.7685,9.5788,9.5396
7.9087,1.6699,7.6197
-7.8135,17.23,29.022
4.2079,4.6552,11.673
6.5888,4.9714,7.8033
3.828,5.2579,9.4595
-8.3139,28.305,31.278
0.26275,14.843,10.637
3.8713,14.323,15.876
2.2996,8.446,11.065
-4.9174,20.411,38.601
-4.8655,18.289,20.561
0.37511,17.512,19.982
-4.9721,26.33,29.595
7.1874,1.7663,6.4562
-0.5376,11.877,34.5
6.3659,7.3562,6.721
4.3713,11.564,19.061
4.55,8.0825,12.884
1.2487,16.893,27.416
6.8414,3.5893,7.9597
2.8387,18.373,10.996
6.9706,4.9789,8.5155
3.533,0.43708,21.203
6.3426,3.7525,12.88
6.1187,9.9188,20.482
6.2331,9.1015,16.39
6.3361,-1.9009,17.291
1.6962,-4.6884,9.7255
4.5299,-8.5091,30.656
13.719,-3.658,30.007
17.906,-4.3623,27.841
12.392,-7.5068,22.005
11.467,-2.126,15.112
11.269,-5.5777,16.061
8.8767,-1.6611,8.7744
6.1098,0.66317,8.7083
7.1228,1.1241,10.408
12.126,-3.0672,19.394
10.02,-2.5319,14.676
13.811,-9.1551,17.45
7.0937,-0.94277,9.0915
16.956,-7.1162,19.498
7.6566,0.54324,11.069
15.095,-6.2171,13.086
7.1469,0.64782,9.3254
11.902,-4.731,14.711
6.3483,5.2851,6.2258
20.529,-13.119,10.842
11.072,0.068951,4.8056
16.907,-11.844,14.523
8.5681,9.9837,5.5073
12.086,-1.0448,9.8757
7.2776,0.68651,8.4677
20.551,-7.2695,14.205
13.651,-3.5808,4.799
19.747,-5.7847,12.095
7.0742,2.4444,7.7946
